category,amt,gender,lat,long,Pop,AgeGroup,Time,merch_lat,merch_long,is_fraud
10,1,2,34,-81,3,2,3,34,-81,0
10,1,1,40,-110,1,1,3,39,-110,0
14,1,1,41,-74,2,2,3,40,-74,0
5,1,2,29,-81,2,2,3,29,-81,0
11,1,2,44,-85,1,3,3,45,-86,0
12,1,1,42,-77,1,1,3,42,-78,0
14,2,1,41,-124,1,3,3,41,-125,0
10,1,1,44,-98,1,2,3,44,-98,0
8,1,2,41,-78,1,2,3,42,-78,0
9,1,1,32,-97,1,3,3,32,-96,0
9,1,2,38,-85,1,1,3,39,-85,0
12,1,2,43,-109,1,2,3,43,-109,0
13,1,1,27,-80,2,2,3,26,-81,0
9,1,2,41,-74,1,3,3,41,-74,0
12,1,1,33,-87,1,2,3,33,-87,0
3,1,1,29,-81,2,2,3,30,-81,0
8,1,2,25,-81,2,2,3,24,-81,0
12,1,1,32,-97,1,1,3,33,-98,0
3,1,1,30,-91,1,2,3,30,-90,0
10,1,1,41,-80,1,1,3,41,-80,0
11,1,1,34,-84,3,1,3,33,-84,0
12,1,1,39,-105,3,1,3,40,-104,0
11,1,2,40,-85,1,2,3,40,-84,0
11,1,1,45,-90,1,1,3,45,-90,0
8,1,1,43,-83,1,2,3,44,-84,0
9,1,1,38,-122,3,1,3,38,-123,0
14,1,2,43,-73,1,3,3,42,-72,0
10,1,2,36,-90,1,2,3,37,-90,0
11,1,1,31,-95,1,3,3,31,-96,0
10,1,1,41,-74,3,3,3,41,-74,0
10,2,2,38,-85,1,3,3,39,-86,0
13,2,1,41,-74,2,2,3,40,-74,0
10,1,2,43,-94,1,2,3,42,-94,0
3,3,1,43,-91,1,2,3,43,-90,0
13,1,1,40,-77,1,2,3,39,-77,0
9,1,2,32,-90,1,3,3,31,-90,0
10,1,2,34,-118,2,1,3,34,-118,0
12,2,1,34,-86,2,2,3,35,-87,0
12,1,2,33,-87,3,2,3,33,-86,0
3,2,2,41,-92,1,2,3,41,-92,0
13,1,1,30,-91,3,2,3,30,-91,0
13,1,2,30,-99,3,2,3,31,-99,0
12,1,2,42,-83,2,2,3,42,-84,0
3,1,1,39,-100,1,2,3,39,-100,0
12,1,2,31,-98,1,3,3,32,-97,0
13,1,1,41,-91,1,2,3,41,-92,0
13,1,2,39,-78,1,2,3,40,-77,0
12,1,1,34,-91,1,2,3,34,-90,0
9,1,1,41,-75,1,1,3,41,-74,0
14,1,1,37,-91,1,2,3,38,-90,0
13,1,2,44,-69,1,2,3,45,-69,0
3,1,1,41,-124,1,3,3,41,-124,0
3,1,2,43,-109,1,2,3,43,-109,0
14,1,1,38,-93,1,2,3,38,-93,0
13,1,1,27,-80,3,3,3,27,-80,0
